p,d,q,aic,delta_aic,n_params
3,1,6,303.3630793537061,0.0,9
0,1,6,303.37063657952257,0.007557225816469781,6
2,0,6,304.1873574296575,0.8242780759513835,8
5,0,6,304.88086245252,1.5177830988138794,11
5,1,6,304.93320231894035,1.5701229652342477,11
4,0,6,305.29961820415946,1.9365388504533598,10
0,0,6,305.6748791531031,2.311799799397022,6
2,1,6,306.67045168584934,3.3073723321432453,8
1,0,6,307.6749936267835,4.311914273077377,7
3,0,6,308.0275971407817,4.664517787075624,9
4,1,6,308.08739817081363,4.72431881710753,10
1,1,6,308.17633386059293,4.813254506886835,7
5,1,5,308.54360711724433,5.180527763538237,10
0,0,5,309.13648646372616,5.7734071100200595,5
2,1,5,309.48526906155536,6.122189707849259,7
1,1,5,309.62636401663707,6.263284662930971,6
1,2,6,309.9012989763044,6.538219622598319,7
4,1,5,309.9314829995852,6.56840364587913,9
6,0,1,310.52613846026685,7.163059106560752,7
3,0,5,310.5791457977978,7.216066444091723,8
6,0,6,310.67096602345066,7.307886669744562,12
3,2,6,310.8585593987792,7.495480045073123,9
4,0,5,310.8729770356284,7.509897681922325,9
1,0,5,311.1231896114784,7.760110257772283,6
5,0,1,311.25420645857383,7.891127104867735,6
4,2,6,312.26210363024205,8.899024276535954,10
6,0,0,312.38051245532137,9.017433101615268,6
6,1,2,312.4368525707482,9.073773217042117,8
6,0,2,312.62895642354374,9.265877069837643,8
6,1,6,312.6758841342961,9.31280478059,12
6,1,3,312.714622879793,9.351543526086914,9
2,0,5,313.07012257349163,9.707043219785533,7
5,0,2,313.10258951301023,9.739510159304132,7
5,0,0,313.3239440468968,9.960864693190729,5
3,1,5,313.42298308118654,10.059903727480446,8
0,2,6,313.5081225238974,10.145043170191286,6
2,2,6,313.5577431923699,10.194663838663814,8
5,1,2,313.6391168891934,10.276037535487319,7
5,1,3,313.71390514689324,10.350825793187141,8
0,1,5,313.7809117386404,10.417832384934286,5
3,2,5,313.86780070224296,10.504721348536862,8
4,1,2,313.87975567390106,10.51667632019496,6
6,1,1,313.96374372827603,10.60066437456993,7
0,0,4,314.1355745724816,10.772495218775475,4
2,0,4,314.2200275648154,10.856948211109284,6
6,0,3,314.3012005581237,10.938121204417598,9
6,1,4,314.48124176556587,11.118162411859771,10
2,2,5,314.64580072396734,11.282721370261243,7
0,2,5,314.8546487216764,11.491569367970328,5
5,0,3,314.9519443007173,11.588864947011189,8
2,1,3,315.1224710703068,11.759391716600703,5
5,1,1,315.3633264142255,12.000247060519428,6
0,1,4,315.5751224709676,12.212043117261487,4
6,1,5,315.58364292309363,12.220563569387537,11
